Waste type,Initial pH,Initial carbon to nitrogen,Initial moisture content (%),Compost time (day),pH,Temperature (℃),Moisture content (%),EC（ms/cm-1）,Ammonia氨mg/kg,Nitrate硝酸盐mg/kg,总氮(%),总有机碳变化(%),有机质含量变化(%),C/N,GI (%),NH4+-N (g/Kg),NO3--N (g/Kg),CO2 (g/Kg),CH4 (g/Kg),N2O (g/Kg),NH3 (g/Kg),segment,Temperature_corr,Moisture_corr,pH_corr,batch_id
livestock manure compost,8.4292,47.667,67.353,7.0,71.876,65.333,7.5664,3.2191,384.92,0.0,1.31758,42.45506276,73.398,32.222,1.348,,,,,,,Segment A: calibrated,71.876,65.333,7.5664,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.4292,47.667,67.353,14.0,56.343,61.728,6.9137,3.4646,873.02,22.3,1.58132,39.533,68.224,25.0,3.032,,,,,,,Segment A: calibrated,56.343,61.728,6.9137,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.4292,47.667,67.353,21.0,46.449,60.416,7.3119,3.8642,1190.48,31.7,1.78791,38.54018796,66.677,21.556,5.054,,,,,,,Segment A: calibrated,46.449,60.416,7.3119,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.4292,47.667,67.353,30.0,31.619,58.933,8.2854,4.279,714.29,16.8,1.9022,36.7752326,63.37,19.333,15.836,,,,,,,Segment A: calibrated,31.619,58.933,8.2854,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.4292,47.667,67.353,45.0,29.324,52.869,8.1527,4.9548,456.35,1443.6,1.98132,35.88368652,61.813,18.111,31.334,,,,,,,Segment A: calibrated,29.324,52.869,8.1527,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.4292,47.667,67.353,60.0,23.352,46.982,7.9646,5.2452,341.27,1500.0,2.07802,36.01832066,60.916,17.333,46.496,,,,,,,Segment A: calibrated,23.352,46.982,7.9646,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.4292,47.667,67.353,75.0,22.739,41.007,7.8319,5.3,142.86,1500.0,2.17473,35.27847006,60.678,16.222,49.528,,,,,,,Segment A: calibrated,22.739,41.007,7.8319,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.4292,47.667,67.353,90.0,18.469,35.916,7.8872,5.3,51.59,1500.0,2.35055,36.3018942,60.33,15.444,55.593,,,,,,,Segment A: calibrated,18.469,35.916,7.8872,livestock manure compost|8.429|47.667|67.353
livestock manure compost,8.7279,48.111,67.706,1.0,34.254,67.706,8.7279,2.9888,27.78,1.4,1.03187,49.64429757,80.878,48.111,1.011,,,,,,,Segment A: calibrated,34.254,67.706,8.7279,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,3.0,47.64,66.209,7.4889,2.8651,31.75,0.0,0.97033,44.63518,77.579,46.0,1.011,,,,,,,Segment A: calibrated,47.64,66.209,7.4889,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,7.0,65.67,64.627,7.2788,3.2654,488.1,0.0,1.1989,41.5622663,71.09,34.667,11.119,,,,,,,Segment A: calibrated,65.67,64.627,7.2788,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,14.0,51.691,63.406,6.969,3.5879,765.87,21.6,1.60769,40.01379641,65.257,24.889,10.782,,,,,,,Segment A: calibrated,51.691,63.406,6.969,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,21.0,45.041,62.271,7.5996,3.7409,1063.49,31.7,1.7967,36.3328674,62.612,20.222,10.445,,,,,,,Segment A: calibrated,45.041,62.271,7.5996,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,30.0,34.299,60.258,8.1195,4.0169,980.16,73.0,2.12637,36.14829,60.183,17.0,17.857,,,,,,,Segment A: calibrated,34.299,60.258,8.1195,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,45.0,32.288,55.254,7.9204,4.3535,630.95,1196.8,2.19231,33.61468923,59.835,15.333,25.606,,,,,,,Segment A: calibrated,32.288,55.254,7.9204,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,60.0,23.496,48.396,8.042,5.3,424.6,1500.0,2.20989,31.67435337,57.838,14.333,27.628,,,,,,,Segment A: calibrated,23.496,48.396,8.042,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,75.0,23.587,44.099,7.854,5.3,150.79,1500.0,2.22308,29.64032564,56.832,13.333,30.323,,,,,,,Segment A: calibrated,23.587,44.099,7.854,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,48.111,67.706,90.0,19.454,36.357,7.8429,5.3,47.62,1500.0,2.36374,31.51574542,56.043,13.333,42.453,,,,,,,Segment A: calibrated,19.454,36.357,7.8429,livestock manure compost|8.728|48.111|67.706
livestock manure compost,8.7279,46.556,67.971,1.0,30.471,67.971,8.7279,2.8038,23.81,1.8,1.05385,49.0630406,79.559,46.556,0.0,,,,,,,Segment A: calibrated,30.471,67.971,8.7279,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,3.0,58.915,67.446,8.1748,2.788,39.68,4.6,1.00989,46.90333116,75.052,46.444,2.022,,,,,,,Segment A: calibrated,58.915,67.446,8.1748,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,7.0,60.663,66.135,7.6659,2.7873,500.0,38.1,1.38352,44.27264,68.343,32.0,9.771,,,,,,,Segment A: calibrated,60.663,66.135,7.6659,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,14.0,54.989,65.348,7.2456,2.9095,813.49,21.6,1.61209,36.36230204,62.4,22.556,10.108,,,,,,,Segment A: calibrated,54.989,65.348,7.2456,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,21.0,46.619,65.803,7.6991,3.2321,908.73,32.4,1.88901,35.89119,61.073,19.0,9.097,,,,,,,Segment A: calibrated,46.619,65.803,7.6991,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,30.0,33.525,62.906,7.854,4.2944,1055.56,73.0,2.03846,34.65382,59.304,17.0,9.771,,,,,,,Segment A: calibrated,33.525,62.906,7.854,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,45.0,19.483,57.725,7.7434,4.8161,880.95,948.9,2.14396,33.11131824,57.307,15.444,21.563,,,,,,,Segment A: calibrated,19.483,57.725,7.7434,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,60.0,13.663,51.134,7.7876,5.3,480.16,1500.0,2.18791,32.09007597,55.421,14.667,25.943,,,,,,,Segment A: calibrated,13.663,51.134,7.7876,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,75.0,12.156,43.922,7.7765,5.3,174.6,1500.0,2.25824,30.61270144,53.425,13.556,27.291,,,,,,,Segment A: calibrated,12.156,43.922,7.7765,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.7279,46.556,67.971,90.0,12.675,36.799,7.865,5.3,51.59,1500.0,2.35934,30.93330674,53.187,13.111,41.105,,,,,,,Segment A: calibrated,12.675,36.799,7.865,livestock manure compost|8.728|46.556|67.971
livestock manure compost,8.3407,47.333,66.47,1.0,30.763,66.47,8.3407,2.0946,190.48,1500.0,1.0011,47.3850663,86.812,47.333,0.0,,,,,,,Segment A: calibrated,30.763,66.47,8.3407,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,3.0,53.876,60.028,8.0973,2.3409,480.16,1500.0,1.00989,47.68902558,83.183,47.222,2.358,,,,,,,Segment A: calibrated,53.876,60.028,8.0973,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,7.0,65.086,58.27,8.1527,2.5098,865.08,1500.0,0.93516,45.51143172,78.124,48.667,19.205,,,,,,,Segment A: calibrated,65.086,58.27,8.1527,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,14.0,57.424,57.577,8.1084,2.7553,1567.46,1500.0,1.22527,42.74844503,73.5,34.889,19.879,,,,,,,Segment A: calibrated,57.424,57.577,8.1084,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,21.0,37.865,55.384,8.0531,2.9237,1273.81,1500.0,1.55055,41.86485,71.953,27.0,35.04,,,,,,,Segment A: calibrated,37.865,55.384,8.0531,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,30.0,22.552,53.811,7.9093,3.2922,563.49,1500.0,1.72198,40.75410066,70.403,23.667,66.038,,,,,,,Segment A: calibrated,22.552,53.811,7.9093,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,45.0,19.12,47.307,7.8429,3.5363,222.22,1500.0,1.89341,40.18194702,68.956,21.222,88.275,,,,,,,Segment A: calibrated,19.12,47.307,7.8429,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,60.0,12.295,45.306,7.8761,3.472,146.83,1500.0,1.95055,39.22751105,67.07,20.111,103.774,,,,,,,Segment A: calibrated,12.295,45.306,7.8761,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,75.0,10.056,36.946,7.8761,3.5466,103.17,1500.0,2.06484,38.54436828,66.062,18.667,107.143,,,,,,,Segment A: calibrated,10.056,36.946,7.8761,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.3407,47.333,66.47,90.0,9.859,32.826,7.8872,3.729,47.62,1500.0,2.26264,37.96257392,64.835,16.778,113.208,,,,,,,Segment A: calibrated,9.859,32.826,7.8872,livestock manure compost|8.341|47.333|66.47
livestock manure compost,8.8386,45.303,64.161,1.0,13.041,64.161,8.8386,1.8958,103.64,6.92,1.0653,48.2612859,83.568,45.303,1.526,,,,,,,Segment A: calibrated,13.041,64.161,8.8386,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,3.0,46.398,65.846,8.707,2.0732,422.55,85.88,0.8701,52.0,79.128,64.559,0.502,,,,,,,Segment A: calibrated,46.398,65.846,8.707,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,7.0,64.301,58.598,8.8735,2.3481,741.46,110.12,0.6482,31.7605036,75.015,48.998,0.49,,,,,,,Segment A: calibrated,64.301,58.598,8.8735,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,14.0,42.652,52.594,8.71,2.8714,1578.59,31.87,1.2291,43.3651062,73.002,35.282,3.78,,,,,,,Segment A: calibrated,42.652,52.594,8.71,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,21.0,26.404,51.457,8.7902,2.8803,1191.91,94.03,1.6751,42.0198835,70.769,25.085,5.796,,,,,,,Segment A: calibrated,26.404,51.457,8.7902,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,30.0,21.898,49.882,8.7041,3.2528,829.16,84.45,1.6696,39.3908728,67.974,23.593,4.498,,,,,,,Segment A: calibrated,21.898,49.882,8.7041,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,45.0,12.12,46.372,8.5732,3.5277,362.76,102.74,1.5169,36.5921787,63.836,24.123,12.348,,,,,,,Segment A: calibrated,12.12,46.372,8.5732,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,60.0,5.73,45.251,8.9284,2.6408,111.62,227.16,1.4786,36.2049996,62.247,24.486,22.743,,,,,,,Segment A: calibrated,5.73,45.251,8.9284,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,75.0,5.834,37.846,8.7978,2.1264,115.6,248.83,1.4944,35.8835328,61.322,24.012,44.34,,,,,,,Segment A: calibrated,5.834,37.846,8.7978,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8386,45.303,64.161,90.0,5.475,33.185,8.6425,2.153,95.67,301.36,1.49,35.81811,61.619,24.039,50.407,,,,,,,Segment A: calibrated,5.475,33.185,8.6425,livestock manure compost|8.839|45.303|64.161
livestock manure compost,8.8502,44.968,63.364,1.0,11.611,63.364,8.8502,2.1175,75.74,65.14,0.9911,44.5677848,79.244,44.968,0.253,,,,,,,Segment A: calibrated,11.611,63.364,8.8502,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,3.0,48.756,63.015,9.0089,2.3126,677.68,133.82,0.715,46.159685,76.468,64.559,1.008,,,,,,,Segment A: calibrated,48.756,63.015,9.0089,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,7.0,62.94,58.774,8.9895,2.4989,920.84,164.91,0.6347,43.4249046,68.142,68.418,0.744,,,,,,,Segment A: calibrated,62.94,58.774,8.9895,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,14.0,21.036,56.134,8.9653,2.7827,1586.56,90.13,1.1887,37.9611345,64.245,31.935,1.997,,,,,,,Segment A: calibrated,21.036,56.134,8.9653,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,21.0,19.814,54.821,9.104,2.9601,1223.8,90.65,1.4054,35.7224572,63.119,25.418,2.994,,,,,,,Segment A: calibrated,19.814,54.821,9.104,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,30.0,16.131,52.449,8.9605,3.0843,940.77,98.17,1.4202,34.219719,62.211,24.095,5.007,,,,,,,Segment A: calibrated,16.131,52.449,8.9605,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,45.0,7.064,45.31,9.084,2.9956,526.2,75.34,1.409,32.102656,55.632,22.784,9.547,,,,,,,Segment A: calibrated,7.064,45.31,9.084,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,60.0,4.624,44.101,8.9867,2.7206,147.49,182.63,1.3572,28.460484,50.274,20.97,18.414,,,,,,,Segment A: calibrated,4.624,44.101,8.9867,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,75.0,4.65,41.563,9.0635,2.5787,67.77,187.2,1.4876,28.74787,49.904,19.325,31.355,,,,,,,Segment A: calibrated,4.65,41.563,9.0635,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.8502,44.968,63.364,90.0,4.674,35.31,8.9323,2.1441,67.77,229.45,1.4832,27.4629312,48.868,18.516,48.625,,,,,,,Segment A: calibrated,4.674,35.31,8.9323,livestock manure compost|8.85|44.968|63.364
livestock manure compost,8.9193,47.144,64.957,1.0,11.611,64.957,8.9193,1.7805,79.73,6.92,0.9978,47.0402832,76.916,47.144,0.0,,,,,,,Segment A: calibrated,11.611,64.957,8.9193,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,3.0,45.058,58.148,8.8691,1.7805,558.09,55.0,0.8364,52.0,73.696,75.775,1.517,,,,,,,Segment A: calibrated,45.058,58.148,8.8691,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,7.0,61.402,56.208,8.6879,1.9933,932.8,99.85,0.6347,31.0990306,68.253,48.998,1.0,,,,,,,Segment A: calibrated,61.402,56.208,8.6879,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,14.0,28.435,53.125,8.6868,2.5965,1538.72,35.33,1.0133,36.2599272,62.361,35.784,1.489,,,,,,,Segment A: calibrated,28.435,53.125,8.6868,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,21.0,24.439,52.608,8.5474,3.0931,1187.93,73.53,1.2166,30.9247554,54.581,25.419,1.723,,,,,,,Segment A: calibrated,24.439,52.608,8.5474,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,30.0,19.676,50.325,8.832,2.5787,681.66,74.18,1.3798,30.4756426,52.454,22.087,2.97,,,,,,,Segment A: calibrated,19.676,50.325,8.832,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,45.0,5.368,46.814,8.5964,2.2594,179.38,123.26,1.2944,30.360152,51.863,23.455,4.711,,,,,,,Segment A: calibrated,5.368,46.814,8.5964,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,60.0,5.395,43.215,8.6271,2.1885,59.79,151.8,1.3235,29.7483095,52.269,22.477,10.778,,,,,,,Segment A: calibrated,5.395,43.215,8.6271,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,75.0,5.574,39.085,8.9017,2.286,91.69,149.5,1.3191,29.244447,50.902,22.17,13.282,,,,,,,Segment A: calibrated,5.574,39.085,8.9017,livestock manure compost|8.919|47.144|64.957
livestock manure compost,8.9193,47.144,64.957,90.0,4.52,33.186,8.6544,2.6231,87.7,160.94,1.3484,29.2548864,50.753,21.696,19.347,,,,,,,Segment A: calibrated,4.52,33.186,8.6544,livestock manure compost|8.919|47.144|64.957
livestock manure compost,9.1406,45.304,66.638,1.0,13.041,66.638,9.1406,1.6918,67.77,0.0,0.9776,44.2891904,74.254,45.304,0.0,,,,,,,Segment A: calibrated,13.041,66.638,9.1406,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,3.0,33.732,60.256,9.0313,1.5765,135.54,13.96,0.978,52.0,68.485,63.555,1.263,,,,,,,Segment A: calibrated,33.732,60.256,9.0313,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,7.0,65.072,59.837,8.9086,1.6297,657.74,34.78,0.7291,35.3577045,61.269,48.495,0.998,,,,,,,Segment A: calibrated,65.072,59.837,8.9086,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,14.0,36.626,56.487,8.873,1.8248,1630.41,11.35,0.9055,31.4941955,59.588,34.781,1.488,,,,,,,Segment A: calibrated,36.626,56.487,8.873,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,21.0,27.332,54.466,8.8018,1.8426,952.73,1.61,0.9875,27.083175,58.795,27.426,3.759,,,,,,,Segment A: calibrated,27.332,54.466,8.8018,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,30.0,22.516,50.767,8.8909,1.9579,721.53,15.95,0.9753,23.0112282,57.665,23.594,3.734,,,,,,,Segment A: calibrated,22.516,50.767,8.8909,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,45.0,11.343,44.248,8.8403,2.0022,294.99,41.08,0.9573,20.3694294,54.413,21.278,4.456,,,,,,,Segment A: calibrated,11.343,44.248,8.8403,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,60.0,5.266,40.03,8.8597,2.8891,131.55,100.46,0.9259,20.5022037,47.169,22.143,5.431,,,,,,,Segment A: calibrated,5.266,40.03,8.8597,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,75.0,5.217,36.784,8.6919,2.7738,23.92,122.17,0.6719,13.3210894,47.354,19.826,5.898,,,,,,,Segment A: calibrated,5.217,36.784,8.6919,livestock manure compost|9.141|45.304|66.638
livestock manure compost,9.1406,45.304,66.638,90.0,4.394,34.955,9.0721,2.357,43.85,143.83,0.5056,11.0,47.316,18.347,16.038,,,,,,,Segment A: calibrated,4.394,34.955,9.0721,livestock manure compost|9.141|45.304|66.638
livestock manure compost,8.3505,45.303,66.374,1.0,30.763,66.374,8.3505,1.8958,215.26,205.55,0.9844,44.5962732,89.333,45.303,0.0,,,,,,,Segment A: calibrated,30.763,66.374,8.3505,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,3.0,53.876,60.448,8.0105,2.0643,486.33,366.67,0.9578,52.0,86.445,64.893,1.263,,,,,,,Segment A: calibrated,53.876,60.448,8.0105,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,7.0,65.086,58.776,8.1078,2.3659,884.97,438.91,0.7426,36.1371438,81.778,48.663,7.363,,,,,,,Segment A: calibrated,65.086,58.776,8.1078,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,14.0,57.424,57.815,8.0725,2.8625,1626.42,230.52,1.1751,44.4105543,76.772,37.793,19.563,,,,,,,Segment A: calibrated,57.424,57.815,8.0725,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,21.0,37.865,55.439,8.0134,2.9069,1283.6,323.51,1.5672,52.0,73.872,35.295,34.308,,,,,,,Segment A: calibrated,37.865,55.439,8.0134,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,30.0,22.552,54.13,7.858,3.2794,558.09,324.19,1.7303,52.0,70.637,34.307,65.852,,,,,,,Segment A: calibrated,22.552,54.13,7.858,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,45.0,19.12,47.611,7.6331,3.5188,219.25,541.08,1.9146,52.0,68.937,33.332,87.959,,,,,,,Segment A: calibrated,19.12,47.611,7.6331,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,60.0,12.295,45.782,7.6525,3.4745,131.55,624.41,1.9775,52.0,67.125,29.007,103.955,,,,,,,Segment A: calibrated,12.295,45.782,7.6525,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,75.0,10.056,37.404,7.6141,3.5632,91.69,964.6,2.0809,52.0,66.311,41.59,108.239,,,,,,,Segment A: calibrated,10.056,37.404,7.6141,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3505,45.303,66.374,90.0,9.859,33.274,7.5862,3.7317,115.6,1109.6,2.2652,52.0,65.055,52.5,113.289,,,,,,,Segment A: calibrated,9.859,33.274,7.5862,livestock manure compost|8.35|45.303|66.374
livestock manure compost,8.3651,45.715,65.614,1.0,39.371,65.614,8.3651,2.1796,85.97,171.82,1.0804,49.390486,88.777,45.715,1.073,,,,,,,Segment A: calibrated,39.371,65.614,8.3651,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,3.0,48.404,61.669,8.4984,2.0111,330.16,301.4,0.947,44.988182,83.875,47.506,3.219,,,,,,,Segment A: calibrated,48.404,61.669,8.4984,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,7.0,57.708,60.006,8.5369,2.3392,642.17,317.38,1.0872,45.836352,79.283,42.16,5.091,,,,,,,Segment A: calibrated,57.708,60.006,8.5369,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,14.0,58.517,57.82,8.7848,2.8271,1515.15,243.57,1.362,47.110218,76.011,34.589,9.376,,,,,,,Segment A: calibrated,58.517,57.82,8.7848,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,21.0,34.652,55.195,8.9946,3.1996,1116.59,386.52,1.6143,45.4134876,73.204,28.132,11.508,,,,,,,Segment A: calibrated,34.652,55.195,8.9946,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,29.0,21.978,52.836,8.9385,3.235,659.12,415.85,1.7723,43.173228,72.574,24.36,21.436,,,,,,,Segment A: calibrated,21.978,52.836,8.9385,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,45.0,18.067,49.166,8.2557,3.0931,183.28,453.3,1.9927,43.0582616,71.239,21.608,81.123,,,,,,,Segment A: calibrated,18.067,49.166,8.2557,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,60.0,11.191,44.971,7.8771,2.8271,128.22,599.12,2.0904,39.8785608,69.515,19.077,96.952,,,,,,,Segment A: calibrated,11.191,44.971,7.8771,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,75.0,11.056,37.09,7.8406,2.2594,159.13,898.25,2.216,39.637592,68.413,17.887,99.597,,,,,,,Segment A: calibrated,11.056,37.09,7.8406,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3651,45.715,65.614,90.0,9.438,31.93,7.8327,1.4257,0.02,1044.05,2.375,32.76075,66.533,13.794,104.126,,,,,,,Segment A: calibrated,9.438,31.93,7.8327,livestock manure compost|8.365|45.715|65.614
livestock manure compost,8.3842,50.404,65.878,1.0,39.371,65.878,8.3842,1.9135,203.58,206.19,1.0247,51.6489788,91.733,50.404,0.0,,,,,,,Segment A: calibrated,39.371,65.878,8.3842,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,3.0,48.404,62.196,8.4319,2.5344,493.07,248.54,1.0084,47.6811856,85.975,47.284,5.447,,,,,,,Segment A: calibrated,48.404,62.196,8.4319,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,7.0,57.708,60.357,8.5274,2.5965,949.89,277.72,1.1764,48.6770792,80.06,41.378,7.246,,,,,,,Segment A: calibrated,57.708,60.357,8.5274,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,14.0,58.517,58.171,8.7087,3.1907,1691.62,264.74,1.3842,46.6420032,76.477,33.696,9.916,,,,,,,Segment A: calibrated,58.517,58.171,8.7087,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,21.0,34.652,56.335,9.0897,3.306,1392.62,354.79,1.6591,44.6380855,74.215,26.905,10.431,,,,,,,Segment A: calibrated,34.652,56.335,9.0897,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,29.0,21.978,53.713,8.929,3.2616,871.8,347.12,1.8169,42.6371923,72.73,23.467,18.206,,,,,,,Segment A: calibrated,21.978,53.713,8.929,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,45.0,18.067,47.675,8.4933,3.0931,395.97,485.02,2.0709,42.2008002,72.406,20.378,62.019,,,,,,,Segment A: calibrated,18.067,47.675,8.4933,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,60.0,11.191,44.269,7.9151,2.3747,250.4,607.04,2.1742,39.2943166,71.304,18.073,82.422,,,,,,,Segment A: calibrated,11.191,44.269,7.9151,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,75.0,11.056,40.599,7.8311,1.8248,100.34,922.04,2.3498,39.9325012,69.812,16.994,93.139,,,,,,,Segment A: calibrated,11.056,40.599,7.8311,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3842,50.404,65.878,90.0,9.438,33.246,7.8042,1.4967,108.62,1007.04,2.4922,39.663363,68.011,15.915,96.323,,,,,,,Segment A: calibrated,9.438,33.246,7.8042,livestock manure compost|8.384|50.404|65.878
livestock manure compost,8.3746,53.975,65.439,1.0,39.371,65.439,8.3746,1.9933,40.7,121.6,1.0581,52.0,92.121,53.975,1.073,,,,,,,Segment A: calibrated,39.371,65.439,8.3746,livestock manure compost|8.375|53.975|65.439
livestock manure compost,8.3746,53.975,65.439,3.0,48.404,64.126,8.3178,2.3126,388.97,171.89,1.1479,52.0,83.72,45.386,10.753,,,,,,,Segment A: calibrated,48.404,64.126,8.3178,livestock manure compost|8.375|53.975|65.439
livestock manure compost,8.3746,53.975,65.439,7.0,57.708,62.199,8.4418,2.4634,913.71,216.94,1.3719,51.1060188,78.738,37.252,16.123,,,,,,,Segment A: calibrated,57.708,62.199,8.4418,livestock manure compost|8.375|53.975|65.439
livestock manure compost,8.3746,53.975,65.439,14.0,58.517,59.75,8.5756,2.8359,1786.64,254.16,1.4903,47.555473,75.777,31.91,10.992,,,,,,,Segment A: calibrated,58.517,59.75,8.5756,livestock manure compost|8.375|53.975|65.439
